racer_number,racer_name,races,wins,win_rate
3951,石川 吉鎬,338,53,0.1568
4168,石野 貴之,338,99,0.2929
4762,藤原 啓史朗,338,115,0.3402
3978,齊藤 仁,338,74,0.2189
3158,島川 光男,338,76,0.2249
4407,鹿島 敏弘,337,35,0.1039
3686,鳥居塚 孝博,337,64,0.1899
4297,山田 哲也,337,92,0.273
4686,丸野 一樹,337,97,0.2878
4241,大串 重幸,337,50,0.1484
3777,樋口 亮,337,68,0.2018
4524,深谷 知博,337,83,0.2463
3912,川原 正明,337,85,0.2522
4536,喜井 つかさ,337,67,0.1988
5255,藤原 仙二,337,87,0.2582
4790,柳内 敬太,337,81,0.2404
4294,古賀 繁輝,337,102,0.3027
4373,若狭 奈美子,337,71,0.2107
4962,畑 竜生,336,71,0.2113
4002,古結 宏,336,96,0.2857
4459,片岡 雅裕,336,68,0.2024
4934,佐々木 翔斗,336,61,0.1815
4851,関 浩哉,335,97,0.2896
5278,田中 駿兵,335,118,0.3522
3499,市川 哲也,335,79,0.2358
3661,柳瀬 興志,335,43,0.1284
3572,安田 政彦,335,47,0.1403
3662,大庭 元明,335,60,0.1791
3779,原田 幸哉,335,96,0.2866
5002,上田 健太,334,74,0.2216
4506,稗田 聖也,334,81,0.2425
4530,小野 生奈,334,113,0.3383
4044,湯川 浩司,334,88,0.2635
3300,川崎 智幸,334,72,0.2156
4642,松尾 夏海,334,107,0.3204
4748,渡邉 雄朗,334,82,0.2455
4804,高田 ひかる,334,94,0.2814
4772,石丸 海渡,334,93,0.2784
4019,笠原 亮,334,89,0.2665
3850,小川 知行,333,40,0.1201
5051,松本 純平,333,88,0.2643
4644,山田 亮太,333,78,0.2342
3981,今坂 晃広,333,44,0.1321
4978,山田 和佐,333,37,0.1111
4445,宮地 元輝,333,79,0.2372
4427,秦 英悟,333,111,0.3333
3716,石渡 鉄兵,333,71,0.2132
4156,浜野 孝志,333,60,0.1802
4155,長野 壮志郎,333,75,0.2252
4848,仲谷 颯仁,333,84,0.2523
3973,崎 利仁,332,25,0.0753
4928,栗城 匠,332,105,0.3163
4360,庄司 孝輔,332,57,0.1717
5016,宮田 龍馬,332,103,0.3102
3505,山田 竜一,332,51,0.1536
5158,宮脇 遼太,332,98,0.2952
4703,森永 隆,332,78,0.2349
5066,鈴木 孝明,332,82,0.247
4314,青木 幸太郎,332,75,0.2259
5045,平川 香織,331,61,0.1843
4276,鈴木 勝博,331,97,0.2931
4478,櫻本 あゆみ,331,76,0.2296
4251,川崎 誠志,331,34,0.1027
4342,谷野 錬志,331,102,0.3082
4584,村岡 賢人,331,89,0.2689
4562,阪本 勇介,331,19,0.0574
3957,大谷 直弘,331,38,0.1148
4381,田路 朋史,331,71,0.2145
4121,富永 修一,331,69,0.2085
5326,三嶌 さらら,331,30,0.0906
4260,中越 博紀,331,66,0.1994
4505,島田 賢人,330,83,0.2515
5089,前田 翔,330,93,0.2818
3439,大平 誉史明,330,72,0.2182
4574,東 潤樹,330,42,0.1273
4052,興津 藍,330,77,0.2333
3606,川北 浩貴,330,50,0.1515
3933,山地 正樹,329,51,0.155
4877,鈴谷 一平,329,95,0.2888
4069,山本 修一,329,59,0.1793
4361,柳生 泰二,329,120,0.3647
4438,森作 雄大,329,71,0.2158
4124,池田 雄一,329,84,0.2553
4191,赤羽 克也,329,76,0.231
4095,福来 剛,329,100,0.304
4828,松山 将吾,328,84,0.2561
4850,野中 一平,328,89,0.2713
4290,稲田 浩二,328,81,0.247
3576,白水 勝也,328,65,0.1982
5223,森清 友翔,328,37,0.1128
5082,一色 凌雅,328,39,0.1189
4468,大池 佑来,328,100,0.3049
4039,村上 功祐,327,44,0.1346
5134,大原 祥昌,327,61,0.1865
4207,松下 一也,327,89,0.2722
3563,堤 昇,327,50,0.1529
4643,近江 翔吾,327,92,0.2813
4443,津田 裕絵,327,51,0.156
5178,成貞 琳平,327,23,0.0703
4077,品田 直樹,326,51,0.1564
4035,杉江 浩明,326,27,0.0828
4205,山口 剛,326,95,0.2914
4566,塩田 北斗,326,77,0.2362
4578,藤山 雅弘,326,75,0.2301
3837,秋山 広一,326,81,0.2485
